64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
223,223
222,222
221,221
220,220
219,219
218,218
217,217
216,216
215,215
214,214
213,213
212,212
211,211
210,210
209,209
208,208
207,207
206,206
205,205
204,204
203,203
202,202
201,201
200,200
199,199
198,198
197,197
196,196
195,195
194,194
193,193
192,192
320,320
321,321
322,322
323,323
324,324
325,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
341,341
342,342
343,343
344,344
345,345
346,346
347,347
348,348
349,349
350,350
351,351
479,479
478,478
477,477
476,476
475,475
474,474
473,473
472,472
471,471
470,470
469,469
468,468
467,467
466,466
465,465
464,464
463,463
462,462
461,461
460,460
459,459
458,458
457,457
456,456
455,455
454,454
453,453
452,452
451,451
450,450
449,449
448,448
576,576
577,577
578,578
579,579
580,580
581,581
582,582
583,583
584,584
585,585
586,586
587,587
588,588
589,589
590,590
591,591
592,592
593,593
594,594
595,595
596,596
597,597
598,598
599,599
600,600
601,601
602,602
603,603
604,604
605,605
606,606
607,607
735,735
734,734
733,733
732,732
731,731
730,730
729,729
728,728
727,727
726,726
725,725
724,724
723,723
722,722
721,721
720,720
719,719
718,718
717,717
716,716
715,715
714,714
713,713
712,712
711,711
710,710
709,709
708,708
707,707
706,706
705,705
704,704
832,832
833,833
834,834
835,835
836,836
837,837
838,838
839,839
840,840
841,841
842,842
843,843
844,844
845,845
846,846
847,847
848,848
849,849
850,850
851,851
852,852
853,853
854,854
855,855
856,856
857,857
858,858
859,859
860,860
861,861
862,862
863,863
991,991
990,990
989,989
988,988
987,987
986,986
985,985
984,984
983,983
982,982
981,981
980,980
979,979
978,978
977,977
976,976
975,975
974,974
973,973
972,972
971,971
970,970
969,969
968,968
967,967
966,966
965,965
964,964
963,963
962,962
961,961
960,960
1088,1088
1089,1089
1090,1090
1091,1091
1092,1092
1093,1093
1094,1094
1095,1095
1096,1096
1097,1097
1098,1098
1099,1099
1100,1100
1101,1101
1102,1102
1103,1103
1104,1104
1105,1105
1106,1106
1107,1107
1108,1108
1109,1109
1110,1110
1111,1111
1112,1112
1113,1113
1114,1114
1115,1115
1116,1116
1117,1117
1118,1118
1119,1119
1247,1247
1246,1246
1245,1245
1244,1244
1243,1243
1242,1242
1241,1241
1240,1240
1239,1239
1238,1238
1237,1237
1236,1236
1235,1235
1234,1234
1233,1233
1232,1232
1231,1231
1230,1230
1229,1229
1228,1228
1227,1227
1226,1226
1225,1225
1224,1224
1223,1223
1222,1222
1221,1221
1220,1220
1219,1219
1218,1218
1217,1217
1216,1216
1344,1344
1345,1345
1346,1346
1347,1347
1348,1348
1349,1349
1350,1350
1351,1351
1352,1352
1353,1353
1354,1354
1355,1355
1356,1356
1357,1357
1358,1358
1359,1359
1360,1360
1361,1361
1362,1362
1363,1363
1364,1364
1365,1365
1366,1366
1367,1367
1368,1368
1369,1369
1370,1370
1371,1371
1372,1372
1373,1373
1374,1374
1375,1375
1503,1503
1502,1502
1501,1501
1500,1500
1499,1499
1498,1498
1497,1497
1496,1496
1495,1495
1494,1494
1493,1493
1492,1492
1491,1491
1490,1490
1489,1489
1488,1488
1487,1487
1486,1486
1485,1485
1484,1484
1483,1483
1482,1482
1481,1481
1480,1480
1479,1479
1478,1478
1477,1477
1476,1476
1475,1475
1474,1474
1473,1473
1472,1472
1600,1600
1601,1601
1602,1602
1603,1603
1604,1604
1605,1605
1606,1606
1607,1607
1608,1608
1609,1609
1610,1610
1611,1611
1612,1612
1613,1613
1614,1614
1615,1615
1616,1616
1617,1617
1618,1618
1619,1619
1620,1620
1621,1621
1622,1622
1623,1623
1624,1624
1625,1625
1626,1626
1627,1627
1628,1628
1629,1629
1630,1630
1631,1631
1759,1759
